isin,reuters_code,company_en,company_ar,category_en,category_ar
EGS30211C014,AJWA.CA,AJWA for Food Industries company Egypt,اجواء للصناعات الغذائية - مصر,"Food,  Beverages and Tobacco",الغذاء والمشروبات والتبغ
EGS30581C010,COSG.CA,Cairo Oils & Soap,القاهرة للزيوت والصابون,"Food,  Beverages and Tobacco",الغذاء والمشروبات والتبغ
EGS02051C018,POUL.CA,Cairo Poultry,القاهرة للدواجن,"Food,  Beverages and Tobacco",الغذاء والمشروبات والتبغ
EGS30201C015,SUGR.CA,Delta Sugar,الدلتا للسكر,"Food,  Beverages and Tobacco",الغذاء والمشروبات والتبغ
EGS37091C013,EAST.CA,Eastern Company,الشرقية - ايسترن كومباني,"Industrial Goods,  Services and Automobiles",السلع الصناعية والخدمات والسيارات
EGS305I1C011,EFID.CA,Edita Food Industries S.A.E,ايديتا للصناعات الغذائية,"Food,  Beverages and Tobacco",الغذاء والمشروبات والتبغ
EGS78021C010,MPRC.CA,Egyptian Media Production City,المصريه لمدينة الانتاج الاعلامى,"IT,  Media & Communication Services",تكنولوجيا المعلومات والإعلام والاتصالات
EGS3G231C011,ELEC.CA,Electro Cable Egypt,الكابلات الكهربائية المصرية,"Industrial Goods,  Services and Automobiles",السلع الصناعية والخدمات والسيارات
EGS38251C012,ZEOT.CA,Extracted Oils,الزيوت المستخلصة ومنتجاتها,"Industrial Goods,  Services and Automobiles",السلع الصناعية والخدمات والسيارات
EGS745L1C014,FWRY.CA,Fawry For Banking Technology And Electronic Payment,فوري لتكنولوجيا البنوك والمدفوعات الالكترونية,"IT,  Media & Communication Services",تكنولوجيا المعلومات والإعلام والاتصالات
EGS673T1C012,GBCO.CA,GB Corp,جى بى كوربوريشن,"Industrial Goods,  Services and Automobiles",السلع الصناعية والخدمات والسيارات
EGS22171C010,IEEC.CA,Industrial & Engineering Projects,المشروعات الصناعية والهندسية,"Industrial Goods,  Services and Automobiles",السلع الصناعية والخدمات والسيارات
EGS02021C011,ISMA.CA,Ismailia Misr Poultry,الاسماعيلية مصر للدواجن,"Food,  Beverages and Tobacco",الغذاء والمشروبات والتبغ
EGS30901C010,JUFO.CA,Juhayna Food Industries,جهينة للصناعات الغذائية,"Food,  Beverages and Tobacco",الغذاء والمشروبات والتبغ
EGS02091C014,MPCO.CA,Mansourah Poultry,المنصورة للدواجن,"Food,  Beverages and Tobacco",الغذاء والمشروبات والتبغ
EGS75011C014,MTIE.CA,MM Group For Industry And International Trade,ام.ام جروب للصناعة والتجارة العالمية,"Industrial Goods,  Services and Automobiles",السلع الصناعية والخدمات والسيارات
EGS30AL1C012,OLFI.CA,Obour Land For Food Industries,عبور لاند للصناعات الغذائية,"Food,  Beverages and Tobacco",الغذاء والمشروبات والتبغ
EGS74191C015,RACC.CA,Raya Customer Experience,راية لخدمات مراكز الاتصالات,"IT,  Media & Communication Services",تكنولوجيا المعلومات والإعلام والاتصالات
EGS48031C016,ETEL.CA,Telecom Egypt,المصرية للاتصالات,"IT,  Media & Communication Services",تكنولوجيا المعلومات والإعلام والاتصالات
EGS30221C013,ADPC.CA,The Arab Dairy Products Co. Arab Dairy - Panda,"العربية لمنتجات الألبان"" آراب ديرى - باندا""","Food,  Beverages and Tobacco",الغذاء والمشروبات والتبغ
