name_en,name_ar,id,category
Nozha International Hospital,مستشفى النزهه الدولي,EGS72011C017,Health Care & Pharmaceuticals
ODIN Investments,اودن للاستثمارات المالية,EGS67181C015,Non-bank financial services
Obour Land For Food Industries,عبور لاند للصناعات الغذائية,EGS30AL1C012,"Food, Beverages and Tobacco"
October Pharma,اكتوبر فارما,EGS380R1C018,Health Care & Pharmaceuticals
Orascom Construction PLC,اوراسكوم كونستراكشون بي ال سي,EGS95001C011,Contracting & Construction Engineering
Orascom Development Egypt,اوراسكوم للتنمية مصر,EGS70321C012,Real Estate
Orascom Financial Holding,اوراسكوم المالية القابضة,EGS696S1C016,Non-bank financial services
Orascom Investment Holding,اوراسكوم للاستثمار القابضه,EGS693V1C014,"IT , Media & Communication Services"
Oriental Weavers,النساجون الشرقيون للسجاد,EGS33041C012,Textile & Durables
Osool ESB Securities Brokerage,اصول E.S.B. للوساطة في الاوراق المالية,EGS68181C014,Non-bank financial services
Palm Hills Development Company,بالم هيلز للتعمير,EGS655L1C012,Real Estate
Paper Middle East (Simo),الورق للشرق الاوسط - سيمو,EGS36091C014,Paper & Packaging
Pioneers Properties For Urban Development(PREDCO),بايونيرز بروبرتيز للتنمية العمرانية,EGS21FW1C015,Real Estate
Port Said Containers And Cargo Handling Co.,بورسعيد لتداول الحاويات والبضائع,EGS42101C013,Shipping & Transportation Services
Prime Holding,برايم القابضة للاستثمارات المالية,EGS691A1C011,Non-bank financial services
Pyramisa Hotels,بيراميزا للفنادق والقرى السياحية - بيراميزا,EGS70331C011,Travel & Leisure
QALA For Financial Investments,القلعة للاستثمارات المالية,EGS73541C012,Non-bank financial services
QALA For Financial Investments - Preferred Shares,القلعة للاستثمارات المالية - اسهم ممتازة,EGS73541P048,Non-bank financial services
Qatar National Bank,بنك قطر الوطني,EGS60081C014,Banks
Rakta Paper Manufacturing,العامة لصناعة الورق - راكتا,EGS36021C011,Paper & Packaging
Raya Customer Experience,راية لخدمات مراكز الاتصالات,EGS74191C015,"IT , Media & Communication Services"
Raya Holding For Financial Investments,راية القابضة للأستثمارات المالية,EGS690C1C010,Non-bank financial services
Reacap Financial Investments,ريكاب للاستثمارات المالية,EGS69191C012,Real Estate
Remco for Touristic Villages Construction,رمكو لانشاء القرى السياحيه,EGS70271C019,Travel & Leisure
Rights Issue Of Sinai Cement -2,حق اكتتاب شركة اسمنت سيناء -2,EGS923M1C017,Building Materials
Rowad Tourism (Al Rowad),رواد السياحة - الرواد,EGS70281C018,Travel & Leisure
Rubex International for Plastic and Acrylic Manufacturing,روبكس العالميه لتصنيع البلاستيك والاكريلك,EGS3A221C018,Building Materials
Sabaa International Company for Pharmaceutical and Chemical,سبأ الدولية للأدوية والصناعات الكيماوية,EGS382M1C011,Health Care & Pharmaceuticals
Samad Misr -EGYFERT,سماد مصر (ايجيفرت),EGS51191C012,Trade & Distributors
Saudi Egyptian Investment & Finance,السعودية المصرية للاستثمار والتمويل,EGS67031C012,Non-bank financial services
Saudi Egyptian Investment & Finance $,السعودية المصرية للاستثمار والتمويل $,EGS67032C010,Non-bank financial services
Sharkia National Food,الشرقية الوطنية للامن الغذائي,EGS30291C016,"Food, Beverages and Tobacco"
Sharm Dreams Co. for Tourism Investment,شارم دريمز للاستثمار السياحى,EGS70571C012,Travel & Leisure
Sidi Kerir Petrochemicals - SIDPEC,سيدى كرير للبتروكيماويات - سيدبك,EGS380S1C017,Basic Resources
Sinai Cement,اسمنت سيناء,EGS3C401C014,Building Materials
Six of October Development & Investment (SODIC),السادس من اكتوبر للتنميه والاستثمار- سوديك,EGS65851C015,Real Estate
Societe Arabe Internationale De Banque S.A.E.,بنك الشركة المصرفية العربية الدولية- شركة مساهمة مصرية,EGS60142C014,Banks
South Cairo & Giza Mills & Bakeries,مطاحن ومخابز جنوب القاهرة والجيزة,EGS30411C010,"Food, Beverages and Tobacco"
South Valley Cement,جنوب الوادى للاسمنت,EGS3C351C011,Building Materials
Speed Medical,سبيد ميديكال,EGS73BR1C013,Health Care & Pharmaceuticals
Sues Canal Company For Technology Settling,قناة السويس لتوطين التكنولوجيا,EGS740C1C010,Education Services
Suez Canal Bank S.A.E,بنك قناة السويس شركة مساهمة مصرية,EGS60231C015,Banks
T M G Holding,مجموعة طلعت مصطفى القابضة,EGS691S1C011,Real Estate
Taaleem Management Services,Taaleem Management Services تعليم لخدمات الإدارة,EGS597R1C017,Education Services
Tanmiya for Real Estate Investment,تنمية للاستثمار العقاري,EGS21EB1C011,Real Estate
Taqa Arabia,طاقة عربية,EGS490S1C014,Utilities
Telecom Egypt,المصرية للاتصالات,EGS48031C016,"IT , Media & Communication Services"
Tenth Of Ramadan Pharmaceutical Industries&Diagnostic-Rameda,العاشر من رمضان للصناعات الدوائية والمستحضرات تشخيصية-راميدا,EGS381B1C015,Health Care & Pharmaceuticals
The Arab Ceramic CO.- Ceramica Remas,العربية للخزف - سيراميكا ريماس,EGS3C151C015,Building Materials
The Arab Dairy Products Co. Arab Dairy - Panda,"العربية لمنتجات الألبان"" آراب ديرى - باندا""",EGS30221C013,"Food, Beverages and Tobacco"
The Egyptian Company for Construction Development-Lift Slab,المصرية لتطوير صناعة البناء (ليفت سلاب مصر ),EGS23141C012,Contracting & Construction Engineering
The Egyptian Modern Education Systems,المصرية لنظم التعليم الحديثة,EGS729F1C012,Education Services
The United Bank,المصرف المتحد,EGS600M1C017,Banks
TransOceans Tours,عبر المحيطات للسياحه,EGS79072C012,Travel & Leisure
United Housing & Development,المتحدة للاسكان والتعمير,EGS65061C011,Real Estate
Universal For Paper and Packaging Materials (Unipack,يونيفرسال لصناعة مواد التعبئة و التغليف و الورق - يونيباك,EGS38161C013,Paper & Packaging
Upper Egypt Flour Mills,مطاحن مصر العليا,EGS30451C016,"Food, Beverages and Tobacco"
Wadi Kom Ombo Land Reclamation,وادي كوم امبو لاستصلاح الاراضي,EGS01071C017,Contracting & Construction Engineering
Zahraa Maadi Investment & Development,زهراء المعادي للاستثمار والتعمير,EGS21171C011,Real Estate
